t,n,pos_rate,acc,precision,recall,f1,spec,tn,fp,fn,tp,model,split
0.61,877,0.500570125427594,0.7696693272519954,0.9471698113207547,0.571753986332574,0.7130681818181818,0.968036529680363,424,14,188,251,Baseline,external_calib
0.62,877,0.500570125427594,0.7696693272519954,0.9471698113207547,0.571753986332574,0.7130681818181818,0.968036529680363,424,14,188,251,Baseline,external_calib
0.63,877,0.500570125427594,0.7696693272519954,0.9471698113207547,0.571753986332574,0.7130681818181818,0.968036529680363,424,14,188,251,Baseline,external_calib
0.64,877,0.500570125427594,0.7696693272519954,0.9471698113207547,0.571753986332574,0.7130681818181818,0.968036529680363,424,14,188,251,Baseline,external_calib
0.65,877,0.500570125427594,0.7696693272519954,0.9471698113207547,0.571753986332574,0.7130681818181818,0.968036529680363,424,14,188,251,Baseline,external_calib
0.66,877,0.500570125427594,0.7685290763968073,0.9538461538461539,0.5649202733485194,0.709585121602289,0.9726027397260252,426,12,191,248,Baseline,external_calib
0.67,877,0.500570125427594,0.7685290763968073,0.9573643410852714,0.5626423690205011,0.7087517934002869,0.9748858447488562,427,11,192,247,Baseline,external_calib
0.68,877,0.500570125427594,0.7673888255416191,0.9571984435797666,0.5603644646924829,0.7068965517241379,0.9748858447488562,427,11,193,246,Baseline,external_calib
0.6900000000000001,877,0.500570125427594,0.766248574686431,0.9606299212598425,0.5558086560364465,0.7041847041847041,0.9771689497716872,428,10,195,244,Baseline,external_calib
0.7000000000000001,877,0.500570125427594,0.7651083238312428,0.9604743083003953,0.5535307517084282,0.7023121387283237,0.9771689497716872,428,10,196,243,Baseline,external_calib
0.7100000000000001,877,0.500570125427594,0.7639680729760547,0.9603174603174603,0.55125284738041,0.7004341534008683,0.9771689497716872,428,10,197,242,Baseline,external_calib
0.72,877,0.500570125427594,0.7651083238312428,0.9641434262948207,0.55125284738041,0.7014492753623188,0.9794520547945182,429,9,197,242,Baseline,external_calib
0.73,877,0.500570125427594,0.7628278221208666,0.9676113360323887,0.5444191343963554,0.6967930029154519,0.9817351598173493,430,8,200,239,Baseline,external_calib
0.74,877,0.500570125427594,0.7628278221208666,0.9676113360323887,0.5444191343963554,0.6967930029154519,0.9817351598173493,430,8,200,239,Baseline,external_calib
0.75,877,0.500570125427594,0.7594070695553021,0.9672131147540983,0.5375854214123007,0.6910688140556369,0.9817351598173493,430,8,203,236,Baseline,external_calib
0.76,877,0.500570125427594,0.7559863169897377,0.966804979253112,0.530751708428246,0.6852941176470588,0.9817351598173493,430,8,206,233,Baseline,external_calib
0.77,877,0.500570125427594,0.7548460661345496,0.9666666666666667,0.5284738041002278,0.6833578792341679,0.9817351598173493,430,8,207,232,Baseline,external_calib
0.78,877,0.500570125427594,0.7514253135689852,0.9662447257383966,0.5216400911161732,0.6775147928994083,0.9817351598173493,430,8,210,229,Baseline,external_calib
0.79,877,0.500570125427594,0.7480045610034207,0.9658119658119658,0.5148063781321185,0.6716196136701337,0.9817351598173493,430,8,213,226,Baseline,external_calib
0.8,877,0.500570125427594,0.7445838084378563,0.9653679653679653,0.5079726651480638,0.6656716417910448,0.9817351598173493,430,8,216,223,Baseline,external_calib
0.81,877,0.500570125427594,0.7411630558722919,0.9690265486725663,0.4988610478359909,0.6586466165413534,0.9840182648401804,431,7,220,219,Baseline,external_calib
0.8200000000000001,877,0.500570125427594,0.7366020524515393,0.9684684684684685,0.489749430523918,0.6505295007564297,0.9840182648401804,431,7,224,215,Baseline,external_calib
0.8300000000000001,877,0.500570125427594,0.7320410490307868,0.9678899082568807,0.4806378132118451,0.6423135464231354,0.9840182648401804,431,7,228,211,Baseline,external_calib
0.8400000000000001,877,0.500570125427594,0.7320410490307868,0.9678899082568807,0.4806378132118451,0.6423135464231354,0.9840182648401804,431,7,228,211,Baseline,external_calib
0.85,877,0.500570125427594,0.7251995438996579,0.9714285714285714,0.4646924829157175,0.6286594761171033,0.9863013698630114,432,6,235,204,Baseline,external_calib
0.86,877,0.500570125427594,0.7194982896237172,0.9707317073170731,0.4533029612756264,0.6180124223602484,0.9863013698630114,432,6,240,199,Baseline,external_calib
0.87,877,0.500570125427594,0.7126567844925884,0.9698492462311558,0.4396355353075171,0.6050156739811913,0.9863013698630114,432,6,246,193,Baseline,external_calib
0.88,877,0.500570125427594,0.7058152793614595,0.9738219895287958,0.42369020501138954,0.5904761904761905,0.9885844748858424,433,5,253,186,Baseline,external_calib
0.89,877,0.500570125427594,0.7023945267958951,0.978494623655914,0.4145785876993166,0.5824,0.9908675799086735,434,4,257,182,Baseline,external_calib
0.9,877,0.500570125427594,0.6989737742303307,0.9781420765027322,0.40774487471526194,0.5755627009646302,0.9908675799086735,434,4,260,179,Baseline,external_calib
0.91,877,0.500570125427594,0.685290763968073,0.9822485207100592,0.37813211845102507,0.5460526315789473,0.9931506849315045,435,3,273,166,Baseline,external_calib
0.92,877,0.500570125427594,0.6636259977194983,0.98,0.3348519362186788,0.499151103565365,0.9931506849315045,435,3,292,147,Baseline,external_calib
0.93,877,0.500570125427594,0.6396807297605474,0.9767441860465116,0.2870159453302961,0.44366197183098594,0.9931506849315045,435,3,313,126,Baseline,external_calib
0.9400000000000001,877,0.500570125427594,0.6157354618015963,0.9722222222222222,0.23917995444191345,0.38391224862888484,0.9931506849315045,435,3,334,105,Baseline,external_calib
0.9500000000000001,877,0.500570125427594,0.580387685290764,0.9733333333333334,0.1662870159453303,0.2840466926070039,0.9954337899543356,436,2,366,73,Baseline,external_calib
0.9600000000000001,877,0.500570125427594,0.5302166476624858,0.9354838709677419,0.06605922551252848,0.12340425531914893,0.9954337899543356,436,2,410,29,Baseline,external_calib
0.97,877,0.500570125427594,0.5028506271379704,1.0,0.00683371298405467,0.013574660633484163,0.9999999999999977,438,0,436,3,Baseline,external_calib
0.98,877,0.500570125427594,0.49942987457240595,0.0,0.0,0.0,0.9999999999999977,438,0,439,0,Baseline,external_calib
0.99,877,0.500570125427594,0.49942987457240595,0.0,0.0,0.0,0.9999999999999977,438,0,439,0,Baseline,external_calib
0.01,877,0.500570125427594,0.500570125427594,0.500570125427594,1.0,0.6671732522796353,0.0,0,438,0,439,Baseline+ECA,external_calib
0.02,877,0.500570125427594,0.500570125427594,0.500570125427594,1.0,0.6671732522796353,0.0,0,438,0,439,Baseline+ECA,external_calib
0.03,877,0.500570125427594,0.500570125427594,0.500570125427594,1.0,0.6671732522796353,0.0,0,438,0,439,Baseline+ECA,external_calib
0.04,877,0.500570125427594,0.500570125427594,0.500570125427594,1.0,0.6671732522796353,0.0,0,438,0,439,Baseline+ECA,external_calib
0.05,877,0.500570125427594,0.5028506271379704,0.5017142857142857,1.0,0.6681887366818874,0.00456621004566209,2,436,0,439,Baseline+ECA,external_calib
0.060000000000000005,877,0.500570125427594,0.5598631698973774,0.5328376703841388,0.979498861047836,0.6902086677367576,0.13926940639269375,61,377,9,430,Baseline+ECA,external_calib
0.06999999999999999,877,0.500570125427594,0.6579247434435576,0.6026587887740029,0.929384965831435,0.7311827956989247,0.3858447488584466,169,269,31,408,Baseline+ECA,external_calib
0.08,877,0.500570125427594,0.7354618015963512,0.6781411359724613,0.89749430523918,0.7725490196078432,0.5730593607305923,251,187,45,394,Baseline+ECA,external_calib
0.09,877,0.500570125427594,0.7605473204104903,0.7189292543021033,0.856492027334852,0.7817047817047817,0.664383561643834,291,147,63,376,Baseline+ECA,external_calib
0.09999999999999999,877,0.500570125427594,0.7765108323831242,0.7557894736842106,0.8177676537585421,0.7855579868708972,0.7351598173515964,322,116,80,359,Baseline+ECA,external_calib
0.11,877,0.500570125427594,0.7993158494868872,0.8009153318077803,0.7972665148063781,0.7990867579908676,0.8013698630136967,351,87,89,350,Baseline+ECA,external_calib
0.12,877,0.500570125427594,0.8004561003420753,0.8188405797101449,0.7722095671981777,0.794841735052755,0.8287671232876693,363,75,100,339,Baseline+ECA,external_calib
0.13,877,0.500570125427594,0.806157354618016,0.8337468982630273,0.765375854214123,0.7980997624703088,0.8470319634703176,371,67,103,336,Baseline+ECA,external_calib
0.14,877,0.500570125427594,0.8107183580387686,0.8527131782945736,0.7517084282460137,0.7990314769975787,0.8698630136986281,381,57,109,330,Baseline+ECA,external_calib
0.15000000000000002,877,0.500570125427594,0.8118586088939567,0.8643617021276596,0.7403189066059226,0.7975460122699386,0.8835616438356144,387,51,114,325,Baseline+ECA,external_calib
0.16,877,0.500570125427594,0.8072976054732041,0.8688524590163934,0.724373576309795,0.7900621118012422,0.8904109589041075,390,48,121,318,Baseline+ECA,external_calib
0.17,877,0.500570125427594,0.8038768529076397,0.8698060941828255,0.715261958997722,0.785,0.8926940639269385,391,47,125,314,Baseline+ECA,external_calib
0.18000000000000002,877,0.500570125427594,0.806157354618016,0.8853868194842407,0.7038724373576309,0.7842639593908629,0.9086757990867559,398,40,130,309,Baseline+ECA,external_calib
0.19,877,0.500570125427594,0.8050171037628279,0.8895348837209303,0.6970387243735763,0.7816091954022989,0.9132420091324179,400,38,133,306,Baseline+ECA,external_calib
0.2,877,0.500570125427594,0.8027366020524516,0.8911764705882353,0.6902050113895216,0.7779204107830552,0.915525114155249,401,37,136,303,Baseline+ECA,external_calib
0.21000000000000002,877,0.500570125427594,0.8038768529076397,0.8961424332344213,0.6879271070615034,0.7783505154639175,0.9200913242009111,403,35,137,302,Baseline+ECA,external_calib
0.22,877,0.500570125427594,0.8050171037628279,0.9011976047904192,0.6856492027334852,0.7787839586028461,0.9246575342465732,405,33,138,301,Baseline+ECA,external_calib
0.23,877,0.500570125427594,0.8038768529076397,0.9033232628398792,0.6810933940774487,0.7766233766233767,0.9269406392694042,406,32,140,299,Baseline+ECA,external_calib
0.24000000000000002,877,0.500570125427594,0.8004561003420753,0.9049079754601227,0.6719817767653758,0.7712418300653595,0.9292237442922353,407,31,144,295,Baseline+ECA,external_calib
0.25,877,0.500570125427594,0.8004561003420753,0.9049079754601227,0.6719817767653758,0.7712418300653595,0.9292237442922353,407,31,144,295,Baseline+ECA,external_calib
0.26,877,0.500570125427594,0.8004561003420753,0.9099378881987578,0.6674259681093394,0.7700394218134035,0.9337899543378974,409,29,146,293,Baseline+ECA,external_calib
0.27,877,0.500570125427594,0.8004561003420753,0.9125,0.6651480637813212,0.769433465085639,0.9360730593607284,410,28,147,292,Baseline+ECA,external_calib
0.28,877,0.500570125427594,0.8027366020524516,0.9182389937106918,0.6651480637813212,0.7714663143989432,0.9406392694063905,412,26,147,292,Baseline+ECA,external_calib
0.29000000000000004,877,0.500570125427594,0.8004561003420753,0.9177215189873418,0.6605922551252847,0.7682119205298014,0.9406392694063905,412,26,149,290,Baseline+ECA,external_calib
0.3,877,0.500570125427594,0.798175598631699,0.9171974522292994,0.6560364464692483,0.7649402390438247,0.9406392694063905,412,26,151,288,Baseline+ECA,external_calib
0.31,877,0.500570125427594,0.7970353477765109,0.9196141479099679,0.6514806378132119,0.7626666666666667,0.9429223744292216,413,25,153,286,Baseline+ECA,external_calib
0.32,877,0.500570125427594,0.798175598631699,0.9225806451612903,0.6514806378132119,0.7636849132176236,0.9452054794520526,414,24,153,286,Baseline+ECA,external_calib
0.33,877,0.500570125427594,0.798175598631699,0.9253246753246753,0.6492027334851936,0.7630522088353414,0.9474885844748836,415,23,154,285,Baseline+ECA,external_calib
0.34,877,0.500570125427594,0.798175598631699,0.9253246753246753,0.6492027334851936,0.7630522088353414,0.9474885844748836,415,23,154,285,Baseline+ECA,external_calib
0.35000000000000003,877,0.500570125427594,0.8004561003420753,0.9342105263157895,0.6469248291571754,0.7644683714670256,0.9543378995433768,418,20,155,284,Baseline+ECA,external_calib
0.36000000000000004,877,0.500570125427594,0.7993158494868872,0.9368770764119602,0.642369020501139,0.7621621621621621,0.9566210045662078,419,19,157,282,Baseline+ECA,external_calib
0.37,877,0.500570125427594,0.8004561003420753,0.94,0.642369020501139,0.7631935047361299,0.9589041095890388,420,18,157,282,Baseline+ECA,external_calib
0.38,877,0.500570125427594,0.8004561003420753,0.94,0.642369020501139,0.7631935047361299,0.9589041095890388,420,18,157,282,Baseline+ECA,external_calib
0.39,877,0.500570125427594,0.7993158494868872,0.939799331103679,0.6400911161731208,0.7615176151761518,0.9589041095890388,420,18,158,281,Baseline+ECA,external_calib
0.4,877,0.500570125427594,0.7993158494868872,0.939799331103679,0.6400911161731208,0.7615176151761518,0.9589041095890388,420,18,158,281,Baseline+ECA,external_calib
0.41000000000000003,877,0.500570125427594,0.7993158494868872,0.939799331103679,0.6400911161731208,0.7615176151761518,0.9589041095890388,420,18,158,281,Baseline+ECA,external_calib
0.42000000000000004,877,0.500570125427594,0.7993158494868872,0.939799331103679,0.6400911161731208,0.7615176151761518,0.9589041095890388,420,18,158,281,Baseline+ECA,external_calib
0.43,877,0.500570125427594,0.7993158494868872,0.9427609427609428,0.6378132118451025,0.7608695652173914,0.96118721461187,421,17,159,280,Baseline+ECA,external_calib
0.44,877,0.500570125427594,0.7993158494868872,0.9427609427609428,0.6378132118451025,0.7608695652173914,0.96118721461187,421,17,159,280,Baseline+ECA,external_calib
0.45,877,0.500570125427594,0.798175598631699,0.9425675675675675,0.6355353075170843,0.7591836734693878,0.96118721461187,421,17,160,279,Baseline+ECA,external_calib
0.46,877,0.500570125427594,0.7936145952109465,0.9417808219178082,0.6264236902050114,0.7523939808481532,0.96118721461187,421,17,164,275,Baseline+ECA,external_calib
0.47000000000000003,877,0.500570125427594,0.7924743443557583,0.9415807560137457,0.6241457858769932,0.7506849315068493,0.96118721461187,421,17,165,274,Baseline+ECA,external_calib
0.48000000000000004,877,0.500570125427594,0.7913340935005702,0.9413793103448276,0.621867881548975,0.7489711934156379,0.96118721461187,421,17,166,273,Baseline+ECA,external_calib
0.49,877,0.500570125427594,0.7913340935005702,0.9413793103448276,0.621867881548975,0.7489711934156379,0.96118721461187,421,17,166,273,Baseline+ECA,external_calib
0.5,877,0.500570125427594,0.790193842645382,0.9411764705882353,0.6195899772209568,0.7472527472527473,0.96118721461187,421,17,167,272,Baseline+ECA,external_calib
0.51,877,0.500570125427594,0.790193842645382,0.9442508710801394,0.6173120728929385,0.7465564738292011,0.963470319634701,422,16,168,271,Baseline+ECA,external_calib
0.52,877,0.500570125427594,0.7867730900798175,0.9436619718309859,0.6104783599088838,0.7413554633471646,0.963470319634701,422,16,171,268,Baseline+ECA,external_calib
0.53,877,0.500570125427594,0.7867730900798175,0.9436619718309859,0.6104783599088838,0.7413554633471646,0.963470319634701,422,16,171,268,Baseline+ECA,external_calib
0.54,877,0.500570125427594,0.7856328392246295,0.9434628975265018,0.6082004555808656,0.739612188365651,0.963470319634701,422,16,172,267,Baseline+ECA,external_calib
0.55,877,0.500570125427594,0.7856328392246295,0.9434628975265018,0.6082004555808656,0.739612188365651,0.963470319634701,422,16,172,267,Baseline+ECA,external_calib
0.56,877,0.500570125427594,0.7844925883694412,0.9432624113475178,0.6059225512528473,0.7378640776699029,0.963470319634701,422,16,173,266,Baseline+ECA,external_calib
0.5700000000000001,877,0.500570125427594,0.7833523375142531,0.946236559139785,0.6013667425968109,0.7353760445682451,0.965753424657532,423,15,175,264,Baseline+ECA,external_calib
0.5800000000000001,877,0.500570125427594,0.7833523375142531,0.946236559139785,0.6013667425968109,0.7353760445682451,0.965753424657532,423,15,175,264,Baseline+ECA,external_calib
0.59,877,0.500570125427594,0.7833523375142531,0.946236559139785,0.6013667425968109,0.7353760445682451,0.965753424657532,423,15,175,264,Baseline+ECA,external_calib
0.6,877,0.500570125427594,0.7833523375142531,0.946236559139785,0.6013667425968109,0.7353760445682451,0.965753424657532,423,15,175,264,Baseline+ECA,external_calib
0.61,877,0.500570125427594,0.7822120866590649,0.9460431654676259,0.5990888382687927,0.7336122733612274,0.965753424657532,423,15,176,263,Baseline+ECA,external_calib
0.62,877,0.500570125427594,0.7810718358038768,0.9458483754512635,0.5968109339407744,0.7318435754189944,0.965753424657532,423,15,177,262,Baseline+ECA,external_calib
0.63,877,0.500570125427594,0.7822120866590649,0.9492753623188406,0.5968109339407744,0.7328671328671329,0.968036529680363,424,14,177,262,Baseline+ECA,external_calib
0.64,877,0.500570125427594,0.7810718358038768,0.9490909090909091,0.5945330296127562,0.7310924369747899,0.968036529680363,424,14,178,261,Baseline+ECA,external_calib
0.65,877,0.500570125427594,0.7799315849486887,0.948905109489051,0.592255125284738,0.729312762973352,0.968036529680363,424,14,179,260,Baseline+ECA,external_calib
0.66,877,0.500570125427594,0.7799315849486887,0.948905109489051,0.592255125284738,0.729312762973352,0.968036529680363,424,14,179,260,Baseline+ECA,external_calib
0.67,877,0.500570125427594,0.7787913340935005,0.9487179487179487,0.5899772209567198,0.7275280898876404,0.968036529680363,424,14,180,259,Baseline+ECA,external_calib
0.68,877,0.500570125427594,0.7787913340935005,0.9487179487179487,0.5899772209567198,0.7275280898876404,0.968036529680363,424,14,180,259,Baseline+ECA,external_calib
0.6900000000000001,877,0.500570125427594,0.7787913340935005,0.9520295202952029,0.5876993166287016,0.7267605633802817,0.970319634703194,425,13,181,258,Baseline+ECA,external_calib
0.7000000000000001,877,0.500570125427594,0.7787913340935005,0.9520295202952029,0.5876993166287016,0.7267605633802817,0.970319634703194,425,13,181,258,Baseline+ECA,external_calib
0.7100000000000001,877,0.500570125427594,0.7776510832383124,0.9518518518518518,0.5854214123006833,0.7249647390691114,0.970319634703194,425,13,182,257,Baseline+ECA,external_calib
0.72,877,0.500570125427594,0.7765108323831242,0.9516728624535316,0.5831435079726651,0.7231638418079096,0.970319634703194,425,13,183,256,Baseline+ECA,external_calib
0.73,877,0.500570125427594,0.7719498289623717,0.9509433962264151,0.5740318906605922,0.7159090909090909,0.970319634703194,425,13,187,252,Baseline+ECA,external_calib
0.74,877,0.500570125427594,0.7685290763968073,0.950381679389313,0.5671981776765376,0.7104136947218259,0.970319634703194,425,13,190,249,Baseline+ECA,external_calib
0.75,877,0.500570125427594,0.7685290763968073,0.9573643410852714,0.5626423690205011,0.7087517934002869,0.9748858447488562,427,11,192,247,Baseline+ECA,external_calib
0.76,877,0.500570125427594,0.7673888255416191,0.9571984435797666,0.5603644646924829,0.7068965517241379,0.9748858447488562,427,11,193,246,Baseline+ECA,external_calib
0.77,877,0.500570125427594,0.766248574686431,0.9606299212598425,0.5558086560364465,0.7041847041847041,0.9771689497716872,428,10,195,244,Baseline+ECA,external_calib
0.78,877,0.500570125427594,0.7628278221208666,0.9601593625498008,0.5489749430523918,0.6985507246376812,0.9771689497716872,428,10,198,241,Baseline+ECA,external_calib
